ProductID,ProductName,Brand,Category,Subcategory,ListPrice,UnitCost
P00001,Aster Fiction 2,Aster,Books,Fiction,30.4,11.46
P00002,NovaHome Kids 3,NovaHome,Clothing,Kids,50.43,30.0
P00003,KidzCraft Skincare 4,KidzCraft,Beauty,Skincare,23.42,11.39
P00004,ByteWorks Cookware 5,ByteWorks,Home & Kitchen,Cookware,52.08,24.33
P00005,NorthPeak Business 6,NorthPeak,Books,Business,42.53,15.76
P00006,GlowLab Business 7,GlowLab,Books,Business,53.33,19.23
P00007,Aster Beverages 8,Aster,Grocery,Beverages,12.26,5.9
P00008,Aster Cookware 9,Aster,Home & Kitchen,Cookware,50.26,21.69
P00009,Aster Non-Fiction 10,Aster,Books,Non-Fiction,40.55,17.47
P00010,KidzCraft Supplements 11,KidzCraft,Grocery,Supplements,59.89,36.64
P00011,NorthPeak Storage 12,NorthPeak,Home & Kitchen,Storage,30.01,13.33
P00012,VitaFuel Appliances 13,VitaFuel,Home & Kitchen,Appliances,29.68,15.54
P00013,UrbanThread Fitness 14,UrbanThread,Sports,Fitness,52.56,21.13
P00014,ByteWorks Dolls 15,ByteWorks,Toys,Dolls,45.45,23.4
P00015,GlowLab Fitness 16,GlowLab,Sports,Fitness,6.39,2.89
P00016,KidzCraft Non-Fiction 17,KidzCraft,Books,Non-Fiction,30.52,12.79
P00017,ByteWorks Computers 18,ByteWorks,Electronics,Computers,53.11,21.09
P00018,Aster Outdoor 19,Aster,Sports,Outdoor,26.44,14.77
P00019,GlowLab Beverages 20,GlowLab,Grocery,Beverages,5.94,3.21
P00020,UrbanThread Women 21,UrbanThread,Clothing,Women,32.57,11.39
P00021,ByteWorks Cookware 22,ByteWorks,Home & Kitchen,Cookware,39.15,14.48
P00022,VitaFuel Business 23,VitaFuel,Books,Business,18.33,8.17
P00023,NorthPeak Headphones 24,NorthPeak,Electronics,Headphones,40.85,14.78
P00024,NovaHome Haircare 25,NovaHome,Beauty,Haircare,17.76,8.02
P00025,ByteWorks Outdoor Play 26,ByteWorks,Toys,Outdoor Play,34.38,17.92
P00026,UrbanThread Beverages 27,UrbanThread,Grocery,Beverages,39.92,16.57
P00027,UrbanThread Kids 28,UrbanThread,Clothing,Kids,65.37,30.87
P00028,Aster Business 29,Aster,Books,Business,45.56,17.12
P00029,NorthPeak Kids 30,NorthPeak,Clothing,Kids,52.86,25.35
P00030,VitaFuel Fiction 31,VitaFuel,Books,Fiction,43.41,22.48
P00031,NovaHome Decor 32,NovaHome,Home & Kitchen,Decor,17.03,8.55
P00032,ByteWorks Men 33,ByteWorks,Clothing,Men,14.73,8.66
P00033,NovaHome Kids 34,NovaHome,Books,Kids,49.08,26.44
P00034,UrbanThread Decor 35,UrbanThread,Home & Kitchen,Decor,7.4,4.28
P00035,ByteWorks Accessories 36,ByteWorks,Clothing,Accessories,7.11,3.57
P00036,GlowLab Puzzles 37,GlowLab,Toys,Puzzles,51.46,27.7
P00037,ByteWorks Makeup 38,ByteWorks,Beauty,Makeup,22.81,10.74
P00038,Aster Storage 39,Aster,Home & Kitchen,Storage,14.24,5.88
P00039,Aster Cycling 40,Aster,Sports,Cycling,57.59,27.72
P00040,NovaHome Accessories 41,NovaHome,Clothing,Accessories,18.98,10.82
P00041,NorthPeak Fiction 42,NorthPeak,Books,Fiction,49.99,18.16
P00042,Aster Appliances 43,Aster,Home & Kitchen,Appliances,38.39,17.47
P00043,VitaFuel Fitness 44,VitaFuel,Sports,Fitness,39.4,21.3
P00044,UrbanThread Non-Fiction 45,UrbanThread,Books,Non-Fiction,40.32,17.05
P00045,NorthPeak Dolls 46,NorthPeak,Toys,Dolls,52.4,30.44
P00046,ByteWorks Skincare 47,ByteWorks,Beauty,Skincare,59.14,35.03
P00047,GlowLab Headphones 48,GlowLab,Electronics,Headphones,20.49,8.11
P00048,NovaHome Kids 49,NovaHome,Clothing,Kids,58.41,27.3
P00049,NorthPeak Storage 50,NorthPeak,Home & Kitchen,Storage,35.97,16.86
P00050,Aster Beverages 1,Aster,Grocery,Beverages,28.74,14.04
P00051,NorthPeak STEM 2,NorthPeak,Toys,STEM,51.72,19.14
P00052,VitaFuel Makeup 3,VitaFuel,Beauty,Makeup,22.97,10.65
P00053,GlowLab Beverages 4,GlowLab,Grocery,Beverages,18.35,9.75
P00054,ByteWorks Haircare 5,ByteWorks,Beauty,Haircare,64.67,23.78
P00055,NovaHome Kids 6,NovaHome,Books,Kids,22.81,14.62
P00056,GlowLab Pantry 7,GlowLab,Grocery,Pantry,6.16,2.83
P00057,NorthPeak Cookware 8,NorthPeak,Home & Kitchen,Cookware,5.43,2.52
P00058,KidzCraft Haircare 9,KidzCraft,Beauty,Haircare,42.53,20.93
P00059,GlowLab Dolls 10,GlowLab,Toys,Dolls,34.5,13.46
P00060,ByteWorks Dolls 11,ByteWorks,Toys,Dolls,61.36,38.85
P00061,NorthPeak Skincare 12,NorthPeak,Beauty,Skincare,14.85,5.68
P00062,VitaFuel Cookware 13,VitaFuel,Home & Kitchen,Cookware,13.66,7.5
P00063,ByteWorks Cookware 14,ByteWorks,Home & Kitchen,Cookware,34.45,14.9
P00064,NorthPeak Cookware 15,NorthPeak,Home & Kitchen,Cookware,53.53,33.18
P00065,VitaFuel Business 16,VitaFuel,Books,Business,59.37,24.49
P00066,NovaHome Non-Fiction 17,NovaHome,Books,Non-Fiction,35.91,20.88
P00067,KidzCraft Makeup 18,KidzCraft,Beauty,Makeup,27.34,14.09
P00068,ByteWorks Supplements 19,ByteWorks,Grocery,Supplements,35.54,16.04
P00069,NovaHome Outdoor 20,NovaHome,Sports,Outdoor,65.06,28.86
P00070,VitaFuel Makeup 21,VitaFuel,Beauty,Makeup,34.95,19.67
P00071,Aster Snacks 22,Aster,Grocery,Snacks,31.31,15.4
